Memory type;RAM;;;;;;;;;;;;;;;;;;;
WriteTime;1.95475e+09;1.93129e+09;1.94351e+09;1.93733e+09;1.94205e+09;1.94656e+09;1.92901e+09;1.94003e+09;1.93243e+09;1.93343e+09;1.94488e+09;1.93842e+09;1.94568e+09;1.9392e+09;1.93388e+09;1.93774e+09;2.66398e+09;1.93997e+09;1.9375e+09;1.93393e+09
WriteBandWidth;2123.4;;;;;;;;;;;;;;;;;;;
AbsError(write);2.05296e+07;4.39919e+07;3.17659e+07;3.79496e+07;3.32267e+07;2.87191e+07;4.62654e+07;3.52527e+07;4.28449e+07;4.1852e+07;3.04016e+07;3.68543e+07;2.9596e+07;3.60747e+07;4.13969e+07;3.75422e+07;6.88703e+08;3.5312e+07;3.7781e+07;4.13456e+07
RelError(write);1.03933;2.22713;1.60818;1.92123;1.68213;1.45393;2.34222;янв.47;2.16906;2.11879;1.53911;1.86578;1.49832;1.82631;2.09575;1.90061;34.8661;янв.77;1.91269;2.09316
AverageReadTime;2.33882e+08;;;;;;;;;;;;;;;;;;;
ReadTime;2.33189e+08;2.34172e+08;2.33948e+08;2.3288e+08;2.35346e+08;2.32928e+08;2.32943e+08;2.33116e+08;2.33266e+08;2.3336e+08;2.35616e+08;2.33303e+08;2.37663e+08;2.33871e+08;2.33468e+08;2.34025e+08;2.33758e+08;2.33537e+08;2.33135e+08;2.34122e+08
ReadBandWidth;17933.4;;;;;;;;;;;;;;;;;;;
AbsError(read);693310;290190;65590;1.00181e+06;1.46389e+06;953910;939510;766310;616710;522810;1.73379e+06;579010;3.78039e+06;10910;414610;142390;124510;345710;747110;239990
RelError(read);0.296435;0.124075;0.028044;0.428339;0.625909;0.407859;0.401702;0.327648;0.263684;0.223536;0.741309;0.247565;1.61636;0.00466474;0.177273;0.060881;0.0532362;0.147814;0.319438;0.102611
;;;;;;;;;;;;;;;;;;;;
Memory type;Flash;;;;;;;;;;;;;;;;;;;
Block Size;8 Mb;;;;;;;;;;;;;;;;;;;
Element type;char;;;;;;;;;;;;;;;;;;;
BufferSize;1;;;;;;;;;;;;;;;;;;;
LaunchNum;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Timer;std::chrono::high_resolution_clock::now;;;;;;;;;;;;;;;;;;;
AverageWriteTime;4.13308e+09;;;;;;;;;;;;;;;;;;;
WriteTime;3.87559e+09;4.59609e+09;3.886e+09;3.88089e+09;4.59681e+09;3.88679e+09;3.88049e+09;4.60399e+09;3.87057e+09;3.88453e+09;4.59571e+09;3.88724e+09;4.61332e+09;3.87326e+09;3.88989e+09;4.60463e+09;3.87884e+09;3.87698e+09;4.60478e+09;3.87525e+09
WriteBandWidth;2029.62;;;;;;;;;;;;;;;;;;;
AbsError(write);2.57497e+08;4.63005e+08;2.47083e+08;2.52191e+08;4.63731e+08;2.46288e+08;2.52598e+08;4.7091e+08;2.62509e+08;2.48556e+08;4.62627e+08;2.45844e+08;4.80236e+08;2.59821e+08;2.43193e+08;4.71549e+08;2.54239e+08;2.56102e+08;4.71693e+08;2.5783e+08
RelError(write);6.23014;ноя.24;5.97818;6.10176;ноя.22;5.95894;6.1116;ноя.37;июн.14;6.01381;ноя.33;май.82;ноя.93;6.28637;5.88405;ноя.91;6.15131;июн.64;ноя.26;6.23821
AverageReadTime;4.68675e+08;;;;;;;;;;;;;;;;;;;
ReadTime;4.7006e+08;4.67629e+08;4.66365e+08;4.66874e+08;4.67524e+08;4.6563e+08;4.67681e+08;4.65936e+08;4.67157e+08;4.66221e+08;4.69733e+08;4.67514e+08;4.68534e+08;4.67269e+08;4.76273e+08;4.68431e+08;4.695e+08;4.72326e+08;4.70812e+08;4.72034e+08
ReadBandWidth;17898.5;;;;;;;;;;;;;;;;;;;
AbsError(read);1.38468e+06;1.04612e+06;2.31012e+06;1.80082e+06;1.15132e+06;3.04492e+06;994020;2.73882e+06;1.51792e+06;2.45392e+06;1.05778e+06;1.16152e+06;141720;1.40622e+06;7.59778e+06;243920;824580;3.65098e+06;2.13668e+06;3.35888e+06
RelError(read);0.295445;0.223208;0.492904;0.384236;0.245654;0.649686;0.212091;0.584375;0.323875;0.523586;0.225696;0.24783;0.0302384;0.300041;1.62112;0.0520446;0.175938;0.779;0.455898;0.716675
;;;;;;;;;;;;;;;;;;;;
Memory type;Flash;;;;;;;;;;;;;;;;;;;
Block Size;12 Mb;;;;;;;;;;;;;;;;;;;
Element type;char;;;;;;;;;;;;;;;;;;;
BufferSize;1;;;;;;;;;;;;;;;;;;;
LaunchNum;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Timer;std::chrono::high_resolution_clock::now;;;;;;;;;;;;;;;;;;;
AverageWriteTime;6.09273e+09;;;;;;;;;;;;;;;;;;;
WriteTime;5.81958e+09;6.53931e+09;5.846e+09;6.55046e+09;5.81153e+09;6.54603e+09;5.80951e+09;6.56252e+09;5.83265e+09;6.56677e+09;5.85117e+09;5.83403e+09;5.83246e+09;5.87053e+09;6.45568e+09;6.69624e+09;5.99112e+09;5.85929e+09;5.77112e+09;5.80857e+09
WriteBandWidth;2065.23;;;;;;;;;;;;;;;;;;;
AbsError(write);2.7315e+08;4.46585e+08;2.4673e+08;4.5773e+08;2.81203e+08;4.53306e+08;2.83219e+08;4.69796e+08;2.60076e+08;4.74042e+08;2.41559e+08;2.58698e+08;2.60273e+08;2.22202e+08;3.6295e+08;6.03515e+08;1.01611e+08;2.33441e+08;3.21603e+08;2.84156e+08
RelError(write);4.48322;июл.98;4.04959;7.51273;4.61539;7.44011;4.64848;7.71077;4.26863;7.78045;3.96472;4.24602;4.27186;3.647;май.71;9.90549;1.66775;3.83147;5.27848;4.66386
AverageReadTime;7.26052e+08;;;;;;;;;;;;;;;;;;;
ReadTime;7.00355e+08;7.0294e+08;7.01026e+08;7.00414e+08;6.98932e+08;7.03387e+08;7.0551e+08;7.0761e+08;7.09079e+08;7.07511e+08;7.06006e+08;7.07567e+08;7.04696e+08;7.33156e+08;7.71226e+08;7.84031e+08;7.76257e+08;7.45658e+08;8.10514e+08;7.45155e+08
ReadBandWidth;17330.6;;;;;;;;;;;;;;;;;;;
AbsError(read);2.56968e+07;2.31116e+07;2.50253e+07;2.56374e+07;2.71195e+07;2.26642e+07;2.05414e+07;1.84415e+07;1.69724e+07;1.85405e+07;2.00458e+07;1.84847e+07;2.1356e+07;7.10423e+06;4.51746e+07;5.79791e+07;5.02054e+07;1.96069e+07;8.44626e+07;1.91037e+07
RelError(read);3.53925;3.18319;3.44676;3.53107;мар.52;3.12156;2.82919;2.53997;2.33763;фев.36;2.76093;2.54592;2.94138;0.978475;6.22196;7.98554;6.91486;2.70049;ноя.31;2.63118
